Department,Subject,Master Subject,Title,Level,Pre/Co-Requisites
2,2.076,16.223,Mech of Heterogeneous Mtrls,G,"2.002, 3.032, 16.20, or permission of instructor"
2,2.08,2.08,Structural Mechanics,G,2.002
2,2.081,2.081,Plates & Shells,G,"2.071, 2.080, or permission of instructor"
2,2.082,2.082,Ship Structural Analysis & Des,G,"2.081, 2.701"
2,2.086,2.086,Numerical Computation,U,"GIR:PHY1, GIR:CAL2; [18.03 or 2.087]"
2,2.087,2.087,Engineering Math: ODEs,U,"GIR:CAL2, GIR:PHY1"
2,2.089,2.089,Computational Geometry,G,Permission of instructor
2,2.091,1.124,Software &Computation Simulatn,G,1.00 or permission of instructor
2,2.092,2.092,Finite Element Analysis I,U,"2.001, 2.003"
2,2.093,2.092,Finite Element Analysis I,G,"2.001, 2.003"
2,2.096,6.336,Intro to Numerical Simulation,G,18.03 or 18.06
2,2.097,16.92,Num Methods for Part Diff Eq,G,18.03 or 18.06
2,2.098,2.098,Finite Element Methods,G,"2.086, 18.06"
2,2.099,16.225,Computatnl Mech of Materials,G,Permission of instructor
2,2.11,2.11,"Info, Entropy, & Computation",U,GIR:PHY1
2,2.111,18.435,Quantum Computation,G,Permission of instructor
2,2.12,2.12,Introduction to Robotics,U,2.004 or 2.04A
2,2.12,2.12,Introduction to Robotics,G,"2.004, or 2.031 and 2.04A, or permission of instructor"
2,2.122,2.122,Stochastic Systems,G,"2.004, 2.087"
2,2.131,2.131,Adv Instrumentation & Msrmt,G,Permission of Instructor
2,2.14,2.14,Analysis & Design Fdbk Ctrl,U,2.004
2,2.14,2.14,Analysis & Design Fdbk Ctrl,G,2.004 or permission of instructor
2,2.141,2.141,Modeling Dynamic Systems,G,Permission of instructor
2,2.151,2.151,Adv System Dynamics & Control,G,"2.004, 18.06; or 2.087, 2.04A"
2,2.152,2.152,Nonlinear Control,G,"2.151, 6.241, 16.31, or permission of instructor"
2,2.153,2.153,Adaptive Control,G,2.151
2,2.154,2.154,Maneuver & Control of Vehicles,G,2.22
2,2.16,2.16,"Identification, Estim, & Learn",G,2.151
2,2.165,2.165,Robotics,G,2.151 or permission of instructor
2,2.166,2.166,Autonomous Vehicles,G,6.041B or permission of instructor
2,2.167,2.167,Hands-On Marine Robotics,U,
2,2.171,2.171,Digital Control Systems,G,"2.14, 2.151, or permission of instructor"
2,2.18,2.18,Biomolecular Feedback Systems,G,"18.03, GIR:BIOL, or permission of instructor"
2,2.18,2.18,Biomolecular Feedback Systems,U,"18.03, GIR:BIOL, or permission of instructor"
2,2.183,2.184,Neural Control of Movement,G,2.004 or permission of instructor
2,2.184,2.184,Neural Control of Movement,U,2.004 or permission of instructor
2,2.2,2.2,Marine Hydrodynamics,G,"1.060B, 2.006, 2.06, or 2.016"
2,2.22,2.22,Des Principles: Ocean Vehicles,G,2.2
2,2.23,2.23,Hydrofoils and Propellers,G,"2.20, 18.085"
2,2.24,2.24,Ocean Waves & Energy Systems,G,"2.20, 18.085"
2,2.25,2.25,Fluid Mechanics,G,2.006 or 2.06; [18.075 or 18.085]
2,2.25,1.631,Fluid Dynamics and Disease,G,
2,2.26,2.26,Advanced Fluid Dynamics,G,18.085; 2.25 or permission of instructor.
2,2.28,2.28,Fund & Applic of Combustion,G,"2.006, or 2.051 and 2.06"
2,2.29,2.29,Numerical Fluid Mechanics,G,"2.006, 2.06, 2.016, 2.20, or 2.25; 18.075"
2,2.341,2.341,Macromolecular Hydrodynamics,G,"2.25, 10.301, or permission of instructor"
2,2.37,2.37,Fundamentals Nanoengineering,G,Permission of instructor
2,2.37,2.37,Fundamentals Nanoengineering,U,2.001; GIR:CHEM
2,2.372,6.717,Design and Fabrication of MEMS,G,"6.003 or 2.003, GIR:PHY2; or permission of instructor"
2,2.374,6.717,Design and Fabrication of MEMS,U,"6.003 or 2.003, GIR:PHY2; or permission of instructor"
2,2.391,6.781,Nanostructure Fabrication,G,"6.152, 6.161, or 2.710; or permission of instructor"
2,2.42,2.42,General Thermodynamics,G,Permission of instructor
2,2.5,2.5,Desalination Water Purify,G,"1.020, 2.006, 10.302, or 2.051 and 2.06, or permission of instructor"
2,2.51,2.51,Intermed Heat & Mass Transfer,U,"2.006, or 2.051 and 2.06, or permission of instructor"
2,2.52,2.52,Modeling & Approx Thermal Proc,G,2.51
2,2.55,2.55,Advanced Heat & Mass Transfer,G,2.51
2,2.57,2.57,Nano-Macro Transport Process,G,"2.005, 2.051, or permission of instructor"
2,2.57,2.57,Nano-Macro Transport Process,U,"2.005, 2.051, or permission of instructor"
2,2.59,22.313,Therm Hydraulics:Power Tech,G,"2.006, 10.302, 22.312, or permission of instructor"
2,2.6,2.6,Fund of Adv Energy Conversion,U,"2.006, or 2.051 and 2.06, or permission of instructor"
2,2.603,2.603,Smart & Resilient Grids,U,2.003
2,2.61,2.61,Internal Combustion Engines,G,2.006
2,2.611,2.612,Marine Power and Propulsion,G,2.005
2,2.612,2.612,Marine Power and Propulsion,U,2.005
2,2.62,2.6,Fund of Adv Energy Conversion,G,"2.006, or 2.051 and 2.06, or permission of instructor"
2,2.625,2.625,Electrochem Energy Storage,G,"2.005, 3.046, 3.53, 10.40, or 2.051 and 2.06, or permission of instructor"
2,2.626,2.627,Fundamentals of Photovoltaics,G,Permission of instructor
2,2.627,2.627,Fundamentals of Photovoltaics,U,Permission of instructor
2,2.63,2.603,Smart & Resilient Grids,G,2.003 or permission of instructor
2,2.64,2.64,Superconducting Magnets,G,"2.51, permission of instructor"
2,2.65,22.081,Sustainable Energy,G,Permission of instructor
2,2.65,22.081,Intro to Sustainable Energy,U,Permission of instructor
2,2.651,EC.711,D-Lab: Energy,U,
2,2.66,4.42,Fund of Energy in Buildings,U,"GIR:PHY1, GIR:CAL2"
2,2.67,2.67,Mechanical Engineering Tools,U,
2,2.671,2.671,Measurement & Instrumentation,U,"2.001, 2.003, 2.086, GIR:PHY2"
2,2.673,20.309,Instr & Msrmt for Biol Systems,U,"GIR:BIOL, GIR:PHY2, 6.0002, 18.03; or permission of instructor"
2,2.674,2.674,Intro Micro/Nano Engineering,U,GIR:PHY2 or permission of instructor
2,2.675,2.676,Micro/Nano Engineering Lab,G,2.25; 2.372 or permission of instructor
2,2.676,2.676,Micro/Nano Engineering Lab,U,"2.001, 2.003, 2.671; [2.005, or 2.051 and 2.06]; or permission of instructor"
2,2.678,2.678,Electronics for Mech Systems,U,GIR:PHY2
2,2.68,2.68,Marine Vehicle Autonomy,G,Permission of instructor
2,2.681,2.681,Environmental Ocean Acoustics,G,"2.066, 18.075 or permission of instructor"
2,2.682,2.682,Acoustical Oceanography,G,2.681
2,2.683,2.683,Marine Bio- and Geoacoustics,G,2.681
2,2.684,2.684,Wave Scattering,G,2.066 or permission of instrctor
