Id,Label,timeset,indegree,outdegree,Degree,modularity_class
21W.787,21W.787,,0,0,0,0
21W.788,21W.788,,0,0,0,0
7.85,7.85,,0,1,1,3
21W.790,21W.790,,0,0,0,0
21W.789,21W.789,,11,0,11,0
CMS.614,CMS.614,,0,0,0,0
21W.792,21W.792,,0,0,0,0
21W.798,21W.798,,0,0,0,0
21W.799,21W.799,,0,0,0,0
STS.477,STS.477,,6,0,6,0
21W.823,21W.823,,6,0,6,0
HST.S18,HST.S18,,8,0,8,2
21W.825,21W.825,,8,0,8,2
21W.752,21W.752,,18,0,18,0
21M.803,21M.803,,8,0,8,2
21W.826,21W.826,,14,0,14,0
21W.892,21W.892,,8,0,8,2
8.04,8.04,,3,5,8,4
15.S62,15.S62,,8,0,8,2
21W.S96,21W.S96,,0,0,0,0
21W.THT,21W.THT,,0,0,0,0
8.08,8.08,,2,1,3,4
HST.S46,HST.S46,,0,0,0,0
8.13,8.13,,4,2,6,4
8.18,8.18,,8,0,8,2
8.19,8.19,,0,0,0,0
8.20,8.20,,2,0,2,4
8.21,8.21,,3,0,3,4
21W.022,21W.022,,0,0,0,0
8.224,8.224,,5,0,5,0
21W.032,21W.032,,0,0,0,0
21W.034,21W.034,,0,0,0,0
15.660,15.660,,4,0,4,0
HST.S48,HST.S48,,0,0,0,0
2.744,2.744,,4,0,4,0
21M.806,21M.806,,8,0,8,2
1.036,1.036,,2,1,3,4
HST.S52,HST.S52,,8,0,8,2
CC.5111,CC.5111,,5,0,5,1
15.773,15.773,,8,0,8,2
1.041,1.041,,3,0,3,1
18.784,18.784,,5,0,5,1
2.003,2.003,,0,11,11,4
1.050,1.050,,2,4,6,4
4.440,4.440,,8,1,9,1
1.054,1.054,,5,0,5,0
1.057,1.057,,8,0,8,2
HST.S53,HST.S53,,0,0,0,0
1.058,1.058,,13,0,13,0
1.060A,1.060A,,13,1,14,8
1.060B,1.060B,,5,2,7,0
1.061A,1.061A,,5,2,7,8
HST.S54,HST.S54,,0,0,0,0
21W.035,21W.035,,0,0,0,0
15.073,15.073,,6,0,6,0
AS.412,AS.412,,3,1,4,3
20.315,20.315,,3,0,3,4
2.752,2.752,,14,0,14,0
ES.729,ES.729,,0,0,0,0
1.231,1.231,,8,0,8,2
MAS.377,MAS.377,,0,0,0,0
1.207,1.207,,11,0,11,0
CMS.350,CMS.350,,0,0,0,0
8.276,8.276,,2,0,2,4
1.208,1.208,,3,0,3,1
8.282,8.282,,8,0,8,1
HST.S56,HST.S56,,8,0,8,2
16.71,16.71,,0,0,0,0
8.277,8.277,,3,0,3,3
16.763,16.763,,18,0,18,0
11.526,11.526,,8,0,8,2
8.284,8.284,,2,0,2,4
21W.742,21W.742,,0,0,0,0
12.425,12.425,,2,0,2,4
16.75,16.75,,5,0,5,0
21W.743,21W.743,,0,0,0,0
8.286,8.286,,2,0,2,4
21W.744,21W.744,,0,0,0,0
12.410,12.410,,0,0,0,0
1.254,1.254,,8,0,8,2
21W.746,21W.746,,0,0,0,0
21W.747,21W.747,,0,0,0,0
1.258,1.258,,12,0,12,0
21W.748,21W.748,,8,0,8,2
21W.749,21W.749,,8,0,8,2
21M.223,21M.223,,0,0,0,0
8.295,8.295,,0,0,0,0
1.27,1.27,,8,0,8,2
8.297,8.297,,4,0,4,4
21W.750,21W.750,,0,0,0,0
HST.S58,HST.S58,,8,0,8,2
21W.751,21W.751,,0,0,0,0
8.299,8.299,,0,0,0,0
CMS.314,CMS.314,,0,0,0,0
21W.755,21W.755,,0,0,0,0
CDO.THG,CDO.THG,,8,0,8,2
HST.S59,HST.S59,,8,0,8,2
CDO.IND,CDO.IND,,0,0,0,0
CMS.360,CMS.360,,0,0,0,0
6.556,6.556,,4,0,4,0
